id,name,score
0,停车检查,0.9939958
1,停车让行,1
2,减速让行,0.999995
3,右侧行驶,0.99994993
4,右转,0.99978477
6,左转,0.87636
8,机动车道,0.9999796
10,注意下坡,0.95596117
12,注意人行横道,0.9999999
14,注意危险,0.92401475
16,注意向右T型交叉,0.9996909
17,注意向右急转弯,0.9778455
18,注意向左T型交叉,0.9953968
20,注意学校,0.99996305
21,注意左右绕行,0.9407657
22,注意慢行,0.9975375
24,注意无人看守铁道路口,0.9832813
27,注意连续弯道,0.9999331
28,注意非机动车,0.906845
32,禁止右转,0.99994206
33,禁止左转,0.9999969
34,禁止左转和右转,0.999171
35,禁止机动车,0.9999876
36,禁止直行,0.99773216
38,禁止直行和左转,0.99986684
39,禁止调头,0.999453
40,禁止超车,0.98885405
41,禁止车辆临时或长时停放,0.9999753
42,禁止通行,0.9839092
43,禁止驶入,1
44,禁止鸣笛,0.99999166
45,解除40km/h限速,0.9608078
47,调头,0.9998252
50,限速40km/h,0.99997413
